id,created,modified,modified_by,created_by,amc_id,amc_full_name,owner_type,cio,investors_relations_officer,amc_short_name,ceo,management_trustee,start_date,is_excluded,website,address1,address2,address3,city,pin,phone,fax,email,modified_ts
32849,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,1,Zurich India Mutual Fund,,,,Zurich,,Zurich Trustee Company (India) Ltd,1993-10-30,t,http://www.zurichindia.com,"4th Floor, Harchandrai House, 81 Maharshi Karve Road",Marine Lines,,Mumbai,400002,022-56311000,022-56311001,,2022-12-13 11:25:01.132+00
32850,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,2,Alliance Capital Mutual Fund,Foreign JV,,,Alliance Capital,,ACAM Trust Company Private Ltd,1994-12-30,t,http://www.alliancecapitalindia.com,Indage House,"82, Dr. Annie Besant Road",Worli,Mumbai,400018,022-24960094 / 24978000 / 56556200,022-4975603 / 4975607,query@alliancecapitalindia.com,2022-12-13 11:25:01.133+00
32851,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,3,Apple,Private,,,Apple,,,1994-04-11,t,,"57 Rajgir Chambers, 7th Floor",Shahid Bhagat Singh Road,"Opp. Old Customs House, Fort",Mumbai,400039,022-2041413 / 2664672,,,2022-12-13 11:25:01.133+00
32852,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,5,Baroda Mutual Fund,,,,Baroda,,Baroda Trustee India Pvt.Ltd.,1994-11-24,t,http://www.barodapioneer.in,"501, Titanium, 5th Floor","Western Express Highway,","Goregoan, (E)",Mumbai,400063,+91 68481000,+91 22-3074 1001,info@barodamf.com,2022-12-13 11:25:01.135+00
32853,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,6,BOI Mutual Fund,Public,,,BOI,,Bank of India,1990-06-09,t,,"B/204, Tower 1,","Peninsula Corporate Park,","Ganpatrao Kadam Marg, Lower Parel,",Mumbai,400013,1800 - 266 - 2676 & 1800 - 103 - 2263,022-2654216,,2022-12-13 11:25:01.135+00
32854,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,8,Canara Robeco Mutual Fund,,,M Paparao,Canara Robeco,Rajnish Narula,Canara Bank,1987-12-19,f,http://www.canararobeco.com,"4th Floor - Construction House,","5 - Walchand Hirachand Marg,",,Mumbai,400001,022-22621371/ 66585000 / 665850010,022-66585012,,2022-12-13 11:25:01.136+00
32855,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,8799,Axis Mutual Fund,,,Darshan Kapadia,Axis,Gop Kumar Bhaskaran,Axis Mutual Fund Trustee Ltd.,2009-09-04,f,http://www.axismf.com,"'"Axis House'" - 1st Floor,","C-2 - Wadia International Centre,","Pandurang Budhkar Marg , Worli,",Mumbai,400025,022-24255161,022-43255199,,2023-05-01 11:45:02.74+00
32856,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,11,Quant Mutual Fund,,Sandeep Tandon,Mohini Sharma,Quant,Sandeep Tandon,Quant Capital Trustee Limited,1996-04-15,f,http://www.quantmutual.com,"6th Floor, Sea Breeze Building,","Appa Saheb Marathe Marg,","Prabhadevi,",Mumbai,400025,022-62955000,,,2022-12-13 11:25:01.137+00
32857,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,12,GIC Mutual Fund,Foreign JV,,,GIC,,GIC Mutual Fund,1990-12-10,t,http://www.gicmutual.com,"22nd Floor, Phiroze Jeejeebhoy Towers",(Bombay Stock Exchange Building),Dalal Street,Mumbai,400001,022-22721896 / 22721897 / 22721974,022-22721894,help@gicmutual.com,2022-12-13 11:25:01.137+00
32858,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,15,Principal Mutual Fund,,,,Principal,,Principal Trustee Company Limited,1994-11-25,t,http://www.principalindia.com,"Exchange Plaza - 2rd Floor - NSE Building,","'"B'" Wing-Bandra Kurla Complex,","Bandra (East),",Mumbai,400051,022-67720555 / 1800-425-5600,022-67720512,customer@principalindia.com,2022-12-13 11:25:01.138+00
